,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,231102.65468596778
9,225175.52811209188
10,450524.74021989875
11,597161.246062434
12,679203.384751504
13,608089.8430364075
14,565201.2732614254
15,231204.86153129864
16,150782.81976152238
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,160461.24911632098
33,627933.6647060153
34,789157.4732671616
35,833000.0
36,833000.0
37,833000.0
38,778598.954731381
39,611047.6914324737
40,361366.50539429823
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,156401.48962852123
57,633002.7509207862
58,791515.1481836502
59,833000.0
60,833000.0
61,833000.0
62,767250.3940133456
63,601383.3016022366
64,358220.8043062326
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,194658.6683078391
81,633644.5106197349
82,788006.7158681452
83,833000.0
84,833000.0
85,833000.0
86,762822.2031506494
87,602514.914622805
88,363786.48981516133
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,353604.4867610921
105,391159.1881654268
106,676643.7034726387
107,661521.2227199476
108,747586.7180031084
109,609923.6069849655
110,625544.6838936274
111,475985.68480072246
112,147918.79917150404
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,3208.42955029755
130,560311.6534962719
131,588429.8017711118
132,562123.7175549124
133,441803.81131045194
134,340360.73476522916
135,572522.5570840973
136,340032.1060021967
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,374375.5435704203
153,617872.7486231339
154,779380.7613548787
155,833000.0
156,833000.0
157,833000.0
158,757681.210542848
159,429597.73474525276
160,261685.13817714018
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,166241.74037529022
177,603993.2263592937
178,763239.883171346
179,833000.0
180,833000.0
181,833000.0
182,741094.1258312132
183,579347.3327381983
184,163631.1107899961
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,26099.590361759656
201,3339.951412012471
202,308073.0948530119
203,527883.3610436479
204,161873.73945520437
205,243921.96445661117
206,522001.5540464688
207,177170.3796624152
208,228387.2618868807
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,331522.2195390019
225,221152.67291402866
226,774592.850877534
227,449276.5055610487
228,833000.0
229,833000.0
230,771275.7346190411
231,610173.9396826392
232,377525.74835080875
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,379664.69940412464
249,627683.1653928565
250,797163.3204113236
251,833000.0
252,833000.0
253,833000.0
254,793660.658623529
255,620545.1691744084
256,378575.5729418887
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,41111.350792055535
273,21790.103272612574
274,142644.36173374153
275,170298.33402663062
276,44983.98482111718
277,102256.77235312217
278,243712.72314539674
279,12630.110543540372
280,19779.256089296392
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,387303.10680774297
297,641969.267543792
298,813806.1100066361
299,833000.0
300,833000.0
301,833000.0
302,809090.6885841466
303,637493.4335164309
304,396239.4315227593
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,371606.6277237103
321,620244.1277287076
322,529144.149008951
323,833000.0
324,833000.0
325,833000.0
326,795189.417378313
327,632500.4885020573
328,394387.99091145565
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,237457.16636905193
345,512588.4120015758
346,792001.0833261985
347,833000.0
348,833000.0
349,833000.0
350,791798.6337715455
351,622909.0990223002
352,370431.91921412584
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,341.03779814997074
369,25322.856336607918
370,40023.80173460065
371,177066.4748527193
372,114750.67403463363
373,95511.77767074472
374,129889.1379796368
375,1914.0121833848448
376,10473.584475645723
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,341.40950487120074
393,21425.188484803937
394,18246.655407972212
395,63186.117244814006
396,50796.562507406605
397,113498.59994779708
398,778671.3870857804
399,600560.8971979567
400,349893.8794179601
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,396958.96349801525
417,682372.7191186904
418,833000.0
419,833000.0
420,833000.0
421,833000.0
422,833000.0
423,690934.8778159268
424,424626.8995395376
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,390992.7992101392
441,661380.3050193919
442,833000.0
443,833000.0
444,833000.0
445,360929.1934735233
446,471481.76686915435
447,386826.6470610248
448,196881.00636327337
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,400447.7276996308
465,672823.1154730782
466,833000.0
467,833000.0
468,833000.0
469,833000.0
470,833000.0
471,689170.5631091825
472,440502.2727108436
473,0.0
474,0.0
475,0.0
