Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,93636,-,-,-,35.05,-110.7,-7,1467,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2001,1,1,0,30,-7,0,0,0,0.2,850,0,96,0.7,,,,,,
2001,1,1,1,30,-7,0,0,0,0.2,850,0,145,0.8,,,,,,
2001,1,1,2,30,-7,0,0,0,0.2,850,0,183,0.9,,,,,,
2001,1,1,3,30,-7,0,0,0,0.2,850,0,204,0.8,,,,,,
2001,1,1,4,30,-7,0,0,0,0.2,850,0,210,0.6,,,,,,
2001,1,1,5,30,-7,0,0,0,0.2,850,0,225,0.5,,,,,,
2001,1,1,6,30,-7,0,0,0,0.2,850,0,251,0.3,,,,,,
2001,1,1,7,30,-7,0,0,0,0.2,850,0,303,0.2,,,,,,
2001,1,1,8,30,-6,54,307,104,0.2,850,0,343,0.3,,,,,,
2001,1,1,9,30,-6,135,123,174,0.2,850,2,322,0.7,,,,,,
2001,1,1,10,30,-6,183,318,321,0.2,850,5,354,1.2,,,,,,
2001,1,1,11,30,-6,203,427,419,0.2,850,6,351,1.7,,,,,,
2001,1,1,12,30,-6,180,544,469,0.2,850,7,343,2,,,,,,
2001,1,1,13,30,-6,191,463,424,0.2,850,8,336,2.1,,,,,,
2001,1,1,14,30,-6,140,523,361,0.2,850,7,326,1.6,,,,,,
2001,1,1,15,30,-3,127,152,173,0.2,850,5,314,1,,,,,,
2001,1,1,16,30,-4,52,181,78,0.2,850,3,301,1.1,,,,,,
2001,1,1,17,30,-6,0,0,0,0.2,850,1,297,1.3,,,,,,
2001,1,1,18,30,-6,0,0,0,0.2,850,0,300,1.3,,,,,,
2001,1,1,19,30,-6,0,0,0,0.2,850,0,309,1.4,,,,,,
2001,1,1,20,30,-6,0,0,0,0.2,850,0,318,1.4,,,,,,
2001,1,1,21,30,-6,0,0,0,0.2,850,0,327,1.2,,,,,,
2001,1,1,22,30,-6,0,0,0,0.2,850,0,337,1.1,,,,,,
2001,1,1,23,30,-6,0,0,0,0.2,850,0,345,1,,,,,,
2001,1,2,0,30,-6,0,0,0,0.2,850,0,349,1,,,,,,
2001,1,2,1,30,-6,0,0,0,0.2,850,0,353,0.9,,,,,,
2001,1,2,2,30,-6,0,0,0,0.2,850,0,357,0.9,,,,,,
2001,1,2,3,30,-6,0,0,0,0.2,850,-1,351,1,,,,,,
2001,1,2,4,30,-6,0,0,0,0.2,850,-1,349,1,,,,,,
2001,1,2,5,30,-6,0,0,0,0.2,850,-1,352,1,,,,,,
2001,1,2,6,30,-6,0,0,0,0.2,850,-1,348,1,,,,,,
2001,1,2,7,30,-6,0,0,0,0.2,850,-1,343,1.3,,,,,,
